"year","NAME","Acres","Bushels"
2023,"Caroline",19200,512000
2023,"Charlotte",8970,305000
2023,"Chesterfield",1080,29600
2023,"Culpeper",12800,415000
2023,"Dinwiddie",16000,663000
2023,"Essex",19400,844000
2023,"Fauquier",13600,496000
2023,"Franklin",6430,283000
2023,"Frederick",1420,39800
2023,"Gloucester",6310,250000
2023,"Goochland",3050,145000
2023,"Isle Of Wight",14200,581000
2023,"King And Queen",14500,555000
2023,"King William",15900,677000
2023,"Lancaster",6810,300000
2023,"Lunenburg",7700,293000
2023,"Madison",6390,262000
2023,"Mecklenburg",19700,516000
2023,"Middlesex",5720,220000
2023,"Northampton",20900,921000
2023,"Northumberland",15800,645000
2023,"Nottoway",3950,171000
2023,"Orange",7400,298000
2023,"Page",500,9900
2023,"Pittsylvania",10700,352000
2023,"Richmond",12800,541000
2023,"Rockingham",8000,230000
2023,"Shenandoah",6320,165000
2023,"Southampton",19100,802000
2023,"Spotsylvania",5330,220000
2023,"Stafford",1480,77100
2023,"Sussex",18600,664000
2023,"Westmoreland",16000,614000
